Timestamp,ID,Captain,Vice Captain,Player 3,Player 4,Player 5,Player 6,Player 7
5/30/2021 1:19:55,7401,anuj  Creds: 250  Team: kaaleen,ankit  Creds: 250  Team: bablu,nitin  Creds: 95  Team: kaaleen,charchit  Creds: 160  Team: kaaleen,shubham  Creds: 35  Team: bablu,rishavA  Creds: 65  Team: kaaleen,anubhav  Creds: 45  Team: kaaleen
5/30/2021 1:25:55,7401,anuj  Creds: 250  Team: kaaleen,ankit  Creds: 250  Team: bablu,nitin  Creds: 95  Team: kaaleen,charchit  Creds: 160  Team: kaaleen,shubham  Creds: 35  Team: bablu,rishavA  Creds: 65  Team: kaaleen,anubhav  Creds: 45  Team: kaaleen
5/30/2021 1:31:58,7401,ankit  Creds: 250  Team: bablu,anuj  Creds: 250  Team: kaaleen,charchit  Creds: 160  Team: kaaleen,nitin  Creds: 95  Team: kaaleen,rishavA  Creds: 65  Team: kaaleen,anubhav  Creds: 45  Team: kaaleen,shubham  Creds: 35  Team: bablu
5/30/2021 1:40:01,7401,ankit  Creds: 250  Team: bablu,anuj  Creds: 250  Team: kaaleen,charchit  Creds: 160  Team: kaaleen,nitin  Creds: 95  Team: kaaleen,rishavA  Creds: 65  Team: kaaleen,anubhav  Creds: 45  Team: kaaleen,shubham  Creds: 35  Team: bablu
5/30/2021 2:01:47,7401,anuj  Creds: 250  Team: kaaleen,ankit  Creds: 250  Team: bablu,gaurav  Creds: 200  Team: bablu,shubham  Creds: 35  Team: bablu,anubhav  Creds: 45  Team: kaaleen,rishavA  Creds: 65  Team: kaaleen,tanay  Creds: 25  Team: bablu
5/30/2021 3:05:09,7400,jitesh  Creds: 140  Team: kaaleen,anuj  Creds: 250  Team: kaaleen,anubhav  Creds: 45  Team: kaaleen,vedant  Creds: 100  Team: bablu,naitik  Creds: 150  Team: bablu,gaurav  Creds: 200  Team: bablu,adarsh  Creds: 90  Team: bablu
5/30/2021 10:49:01,7403,anuj  Creds: 250  Team: kaaleen,jitesh  Creds: 140  Team: kaaleen,adarsh  Creds: 90  Team: bablu,anubhav  Creds: 45  Team: kaaleen,ankit  Creds: 250  Team: bablu,nitin  Creds: 95  Team: kaaleen,tanay  Creds: 25  Team: bablu
5/30/2021 11:53:13,7404,jitesh  Creds: 140  Team: kaaleen,anuj  Creds: 250  Team: kaaleen,anubhav  Creds: 45  Team: kaaleen,shubham  Creds: 35  Team: bablu,rishavA  Creds: 65  Team: kaaleen,naitik  Creds: 150  Team: bablu,gaurav  Creds: 200  Team: bablu
5/30/2021 12:31:34,7406,ankit  Creds: 250  Team: bablu,madhu  Creds: 140  Team: kaaleen,jitesh  Creds: 140  Team: kaaleen,anubhav  Creds: 45  Team: kaaleen,shubham  Creds: 35  Team: bablu,gaurav  Creds: 200  Team: bablu,adarsh  Creds: 90  Team: bablu
5/30/2021 12:49:14,7408,anuj  Creds: 250  Team: kaaleen,jitesh  Creds: 140  Team: kaaleen,gaurav  Creds: 200  Team: bablu,anubhav  Creds: 45  Team: kaaleen,rishavA  Creds: 65  Team: kaaleen,adarsh  Creds: 90  Team: bablu,vedant  Creds: 100  Team: bablu
5/30/2021 12:59:44,7777,jitesh  Creds: 140  Team: kaaleen,anuj  Creds: 250  Team: kaaleen,anubhav  Creds: 45  Team: kaaleen,rishavA  Creds: 65  Team: kaaleen,gaurav  Creds: 200  Team: bablu,vedant  Creds: 100  Team: bablu,adarsh  Creds: 90  Team: bablu
5/30/2021 13:04:52,7407,gaurav  Creds: 200  Team: bablu,ankit  Creds: 250  Team: bablu,anuj  Creds: 250  Team: kaaleen,tanay  Creds: 25  Team: bablu,jitesh  Creds: 140  Team: kaaleen,shubham  Creds: 35  Team: bablu,anubhav  Creds: 45  Team: kaaleen
5/30/2021 13:18:15,7409,anuj  Creds: 250  Team: kaaleen,ankit  Creds: 250  Team: bablu,anubhav  Creds: 45  Team: kaaleen,shubham  Creds: 35  Team: bablu,madhu  Creds: 140  Team: kaaleen,naitik  Creds: 150  Team: bablu,tanay  Creds: 25  Team: bablu
5/30/2021 13:19:02,8888,ankit  Creds: 250  Team: bablu,jitesh  Creds: 140  Team: kaaleen,rishavA  Creds: 65  Team: kaaleen,anubhav  Creds: 45  Team: kaaleen,gaurav  Creds: 200  Team: bablu,adarsh  Creds: 90  Team: bablu,vedant  Creds: 100  Team: bablu
5/30/2021 13:26:01,7407,gaurav  Creds: 200  Team: bablu,ankit  Creds: 250  Team: bablu,anuj  Creds: 250  Team: kaaleen,tanay  Creds: 25  Team: bablu,jitesh  Creds: 140  Team: kaaleen,shubham  Creds: 35  Team: bablu,anubhav  Creds: 45  Team: kaaleen
5/30/2021 13:55:28,7407,gaurav  Creds: 200  Team: bablu,ankit  Creds: 250  Team: bablu,tanay  Creds: 25  Team: bablu,naitik  Creds: 150  Team: bablu,jitesh  Creds: 140  Team: kaaleen,anubhav  Creds: 45  Team: kaaleen,rishavA  Creds: 65  Team: kaaleen
5/30/2021 13:56:33,7405,anuj  Creds: 250  Team: kaaleen,gaurav  Creds: 200  Team: bablu,charchit  Creds: 160  Team: kaaleen,shubham  Creds: 35  Team: bablu,anubhav  Creds: 45  Team: kaaleen,adarsh  Creds: 90  Team: bablu,rishavA  Creds: 65  Team: kaaleen
5/30/2021 14:07:38,7402,anuj  Creds: 250  Team: kaaleen,jitesh  Creds: 140  Team: kaaleen,adarsh  Creds: 90  Team: bablu,charchit  Creds: 160  Team: kaaleen,shubham  Creds: 35  Team: bablu,tanay  Creds: 25  Team: bablu,gaurav  Creds: 200  Team: bablu
